nbh_name,property_damages,property_violations_calls
CBD Downtown,432,0.0
Hospital Hill,209,0.0
Scarritt Point,167,267.0
Old Westport,132,0.0
Shoal Creek,130,257.0
Independence Plaza,103,169.0
South Indian Mound,98,0.0
Crown Center,96,0.0
Blenheim Square Research Hospital,88,355.0
Blue Hills,83,279.0
Paseo West,81,0.0
Pendleton Heights,80,0.0
East Community Team North,77,179.0
Crossroads,77,0.0
East Community Team South,76,477.0
Broadway Gillham,75,0.0
Lykins,72,221.0
Marlborough Heights/Marlborough Pride,71,225.0
North Town Fork Creek,70,270.0
Coves North,69,0.0
Ruskin Heights,68,373.0
Hickman Mills,68,0.0
Key Coalition,66,144.0
Knoches Park,66,0.0
North Hyde Park,66,0.0
Valentine,66,0.0
Fairlane,64,291.0
River Market,64,0.0
Sheffield,62,0.0
North Indian Mound,54,223.0
18th And Vine And Downtown East,53,0.0
Volker,49,283.0
Hanover Place,48,0.0
Ivanhoe Southwest,47,0.0
West Plaza,47,0.0
Davidson,46,147.0
Oak Park Southwest,43,276.0
Washington Wheatley,42,219.0
Self Help Neighborhood Council,42,113.0
Southmoreland,39,0.0
Wendell Phillips,38,189.0
Fairwood And Robandee,37,261.0
KCI & 2nd Creek,37,119.0
Westside North,37,0.0
Plaza Westport,36,0.0
West Blue Valley,36,0.0
Ivanhoe Northeast,35,0.0
South Hyde Park,34,179.0
Manheim Park,32,137.0
Ashland Ridge,32,0.0
Chaumiere,31,332.0
South Blue Valley,31,140.0
Central Blue Valley And Park Tower Gardens,31,0.0
East Swope Highlands,31,0.0
Eastwood Hills East,30,227.0
Stratford Estates,30,0.0
Westside South,29,121.0
Eastwood Hills West,29,0.0
Santa Fe,28,123.0
Longfellow,28,0.0
Northeast Industrial District,28,0.0
Swope Parkway-Elmwood,27,344.0
Tower Homes,27,220.0
Western 49-63,27,157.0
Columbus Park Industrial,26,0.0
Parkdale And Walden,26,0.0
Rockhill Manor,26,0.0
Vineyard,25,181.0
Winnwood,25,135.0
Citadel,25,0.0
Country Club Plaza,25,0.0
Hidden Valley,25,0.0
Ingleside,25,0.0
Riss Lake,25,0.0
Oak Park Northwest,24,180.0
Lewis Heights,24,0.0
Prairie Point-Wildberry,24,0.0
South Town Fork Creek,24,0.0
Forgotten Homes,23,0.0
Parkview,23,0.0
The Coves,23,0.0
Ivanhoe Southeast,22,134.0
East Blue Valley,22,0.0
Swope Park Campus,22,0.0
Winnetonka,22,0.0
Oak Park Southeast,21,118.0
Blue Valley Industrial,21,0.0
Martin City,21,0.0
Santa Fe Hills,21,0.0
East Meyer 6,20,135.0
Crestview,20,130.0
East Meyer 7,20,0.0
Legacy East,20,0.0
Little Blue,20,0.0
Loma Vista,20,0.0
Mount Hope,20,0.0
North Blue Ridge,20,0.0
Platte Ridge,20,0.0
Sherrydale,20,0.0
South Plaza,20,0.0
Mount Cleveland,19,0.0
Ruskin Hills,18,164.0
Briarcliff And Claymont,18,0.0
Meadowbrook Heights,18,0.0
Park Farms,18,0.0
Western Blue Township,18,0.0
Eastern 49-63,17,271.0
Hill Haven,17,0.0
Lea Manor,17,0.0
Quality Hill,17,0.0
Colonial Square,16,0.0
Rolling Meadows,16,0.0
Willow Creek,16,0.0
Birmingham Bottoms,15,0.0
White Oak,14,121.0
Beacon Hills,14,0.0
Boone Hills,14,0.0
Boulevard Village,14,0.0
Central Hyde Park,14,0.0
Glenhaven,14,0.0
Line Creek And Northern Heights,14,0.0
Linwood Homeowners-Ivanhoe,14,0.0
New Mark,14,0.0
Palestine East,14,0.0
Terrace Lake Gardens,14,0.0
Western Hills,14,0.0
Bannister Acres,13,0.0
Center City,13,0.0
Cooley Highlands S,13,0.0
Holmes Park,13,0.0
Ravenwood-Somerset,13,0.0
Tanglewood And Regency North,13,0.0
Cunningham Ridge,12,0.0
Jefferson Highlands,12,0.0
Red Bridge South,12,0.0
Neighbors United For Action,11,244.0
Barry Harbour,11,0.0
Country Valley-Hawthorn Square,11,0.0
Gashland,11,0.0
Hillcrest,11,0.0
Linden Hills And Indian Heights,11,0.0
Maple Park West,10,175.0
Hickman Mills South,10,117.0
Brown Estates,10,0.0
Country Club Estates And Big Shoal,10,0.0
Maple Park,10,0.0
Mission Lake,10,0.0
Richards Gebaur,10,0.0
Robandee South,10,0.0
Gracemor-Randolph Corners,9,184.0
Stayton Meadows,9,179.0
Antioch Acres,9,0.0
Breen Hills,9,0.0
Chouteau Estates,9,0.0
Marlborough East,9,0.0
Palestine West And Oak Park Northeast,9,0.0
Park Central-Research Park,9,0.0
Park Forest,9,0.0
Crossgates,8,0.0
Foxtown East,8,0.0
Leeds,8,0.0
Linden Park,8,0.0
Oldham Farms,8,0.0
Red Bridge North,8,0.0
Rockhill,8,0.0
Noble And Gregory Ridge,7,124.0
Blue Vue Hills,7,0.0
Bridlespur,7,0.0
Coachlight Square,7,0.0
Columbus Park,7,0.0
Kirkside,7,0.0
Royal Oaks,7,0.0
Royal Oaks North,7,0.0
St Catherines Gardens,6,125.0
Hawthorne And Picture Hills,6,0.0
Morningside,6,0.0
Platte Brook North,6,0.0
Ridgefield,6,0.0
Roanoke,6,0.0
Sterling Acres,6,0.0
Vineyard Northwest,6,0.0
Highview Estates,5,0.0
River View,5,0.0
Sechrest,5,0.0
Squier Park,5,0.0
Union Hill,5,0.0
