nbh_name,property_damages,property_violations_calls
CBD Downtown,233,70.0
Old Westport,214,0.0
Blue Hills,194,148.0
East Community Team South,187,238.0
North Town Fork Creek,184,136.0
Shoal Creek,167,113.0
Crossroads,165,65.0
East Community Team North,164,79.0
Scarritt Point,162,140.0
Ruskin Heights,152,168.0
Pendleton Heights,131,0.0
Key Coalition,117,0.0
Lykins,114,175.0
Fairwood And Robandee,113,94.0
Wendell Phillips,111,88.0
Marlborough Heights/Marlborough Pride,109,134.0
Knoches Park,109,74.0
North Indian Mound,106,193.0
Riss Lake,104,0.0
KCI & 2nd Creek,102,0.0
Independence Plaza,101,83.0
Martin City,100,0.0
Hospital Hill,99,0.0
Ivanhoe Southeast,99,0.0
Central Blue Valley And Park Tower Gardens,97,0.0
Oak Park Southwest,94,157.0
Davidson,94,0.0
South Indian Mound,94,0.0
Washington Wheatley,93,0.0
Fairlane,92,62.0
North Hyde Park,92,0.0
Sheffield,92,0.0
Broadway Gillham,90,0.0
Linden Hills And Indian Heights,90,0.0
Volker,84,76.0
East Meyer 7,82,0.0
Swope Parkway-Elmwood,81,147.0
Ruskin Hills,81,68.0
Park Farms,80,78.0
Valentine,80,0.0
East Meyer 6,76,68.0
Eastwood Hills West,76,0.0
Ivanhoe Southwest,75,0.0
Hickman Mills,74,0.0
West Blue Valley,74,0.0
Oak Park Northwest,73,80.0
Southmoreland,73,74.0
River Market,73,0.0
18th And Vine And Downtown East,72,92.0
Blenheim Square Research Hospital,72,65.0
Coves North,72,0.0
Loma Vista,72,0.0
Eastwood Hills East,71,178.0
Santa Fe,69,72.0
Hanover Place,69,0.0
Central Hyde Park,68,0.0
Westside North,68,0.0
Oak Park Southeast,67,72.0
West Plaza,63,0.0
South Blue Valley,62,61.0
Manheim Park,61,65.0
Paseo West,61,0.0
South Hyde Park,58,87.0
Stratford Estates,58,67.0
Linwood Homeowners-Ivanhoe,58,0.0
Westside South,55,0.0
East Blue Valley,54,0.0
Vineyard,53,76.0
Tower Homes,50,105.0
East Swope Highlands,49,0.0
Willow Creek,49,0.0
Vineyard Estates,47,0.0
Hidden Valley,46,0.0
Marlborough East,46,0.0
Eastern 49-63,45,122.0
Ivanhoe Northeast,45,0.0
Blue Valley Industrial,44,0.0
Plaza Westport,44,0.0
South Town Fork Creek,42,0.0
Crown Center,41,0.0
Noble And Gregory Ridge,40,101.0
Crestview,40,64.0
Country Club Plaza,40,0.0
Little Blue,40,0.0
Antioch Acres,39,0.0
Gracemor-Randolph Corners,39,0.0
Longfellow,39,0.0
Quality Hill,39,0.0
Barry Harbour,38,0.0
Legacy East,38,0.0
Columbus Park,37,0.0
Highview Estates,37,0.0
Swope Park Campus,37,0.0
Clayton,36,0.0
Santa Fe Hills,35,0.0
Sherrydale,35,0.0
Winnwood,35,0.0
Self Help Neighborhood Council,34,85.0
Holmes Park,34,0.0
Lewis Heights,34,0.0
Tanglewood And Regency North,34,0.0
Union Hill,34,0.0
Chaumiere,33,77.0
Oldham Farms,33,0.0
South Plaza,33,0.0
North Blue Ridge,32,70.0
Colonial Square,32,0.0
Line Creek And Northern Heights,32,0.0
The Coves,32,0.0
Western Blue Township,31,0.0
Chouteau Estates,30,0.0
Citadel,30,0.0
Jefferson Highlands,30,0.0
Northeast Industrial District,30,0.0
Palestine East,30,0.0
Sunset Hill,30,0.0
Palestine West And Oak Park Northeast,29,73.0
Crossgates,29,0.0
Meadowbrook Heights,29,0.0
Prairie Point-Wildberry,29,0.0
Rockhill Manor,29,0.0
Maple Park West,28,236.0
Ward Parkway,28,71.0
Ravenwood-Somerset,28,62.0
Briarcliff And Claymont,28,0.0
Cooley Highlands S,28,0.0
Hill Haven,28,0.0
Mount Hope,28,0.0
Columbus Park Industrial,27,0.0
Hickman Mills South,27,0.0
Parkdale And Walden,27,0.0
Royal Oaks,27,0.0
Western 49-63,26,64.0
Ashland Ridge,26,0.0
Beacon Hills,26,0.0
Brown Estates,26,0.0
Calico Farms,26,0.0
Kirkside,26,0.0
Maple Park,26,0.0
Mount Cleveland,26,0.0
Stayton Meadows,25,75.0
Blue Vue Hills,25,0.0
Lea Manor,25,0.0
Neighbors United For Action,25,0.0
Robandee South,25,0.0
Vineyard Northwest,25,0.0
Hillcrest,24,0.0
Ingleside,23,0.0
Platte Brook North,23,0.0
Red Bridge South,23,0.0
Dunbar,22,0.0
New Mark,22,0.0
Ridgefield,22,0.0
Sterling Gardens,22,0.0
Center City,21,0.0
Platte Ridge,21,0.0
Richards Gebaur,21,0.0
Boulevard Village,20,0.0
St Catherines Gardens,20,0.0
Country Lane Estates,19,0.0
Country Valley-Hawthorn Square,19,0.0
Harlem,19,0.0
Forgotten Homes,18,0.0
Gashland,18,0.0
Nashua,18,0.0
Boone Hills,17,66.0
Bannister Acres,17,0.0
Country Club Estates And Big Shoal,17,0.0
Park Central-Research Park,17,0.0
Red Bridge North,16,0.0
Western Hills,16,0.0
White Oak,16,0.0
Birmingham Bottoms,15,0.0
Coachlight Square,15,0.0
Mission Lake,15,0.0
Parkview,15,0.0
Squier Park,15,0.0
River View,14,0.0
Roanoke,14,0.0
Briarcliff West,13,0.0
Winnetonka,13,0.0
Bridlespur,12,0.0
Leeds,12,0.0
Fairway Hills,11,0.0
Breen Hills,10,0.0
Foxtown East,10,0.0
Longview,10,0.0
Minneville,10,0.0
Park Forest,10,0.0
Sherwood Estates,10,0.0
Morningside,9,0.0
Park Plaza,9,0.0
Rolling Meadows,9,0.0
West Waldo,9,0.0
Armour Hills,8,0.0
Countryside,8,0.0
Cunningham Ridge,8,0.0
Glenhaven,8,0.0
Lakeview Terrace,8,0.0
Rockhill,8,0.0
Sechrest,8,0.0
Sterling Acres,8,0.0
Terrace Lake Gardens,8,0.0
River Forest,7,0.0
Waldo Homes,6,61.0
Hawthorne And Picture Hills,6,0.0
Linden Park,6,0.0
Oakwood,6,0.0
Outer Gashland-Nashua,6,0.0
Winnwood Gardens,6,0.0
Verona Hills,5,0.0
Armour Fields,4,0.0
Blue Hills Estates,4,0.0
Country Club District,4,0.0
Swope Park Ridge-Winchester,4,0.0
Unity Ridge,4,0.0
Ward Parkway Plaza,4,0.0
Westwood,4,0.0
Woodbridge,4,0.0
Sheraton Estates,3,0.0
Blue Ridge Farms,2,0.0
Coleman Highlands,2,0.0
Crestwood,2,0.0
Foxcroft And Glen Arbor,2,0.0
Foxwoods-Carriage Hills,2,0.0
Greenway Fields,2,0.0
Holiday Hills,2,0.0
Oak Meyer Gardens,2,0.0
Royal Oaks North,2,0.0
Woodson Estates,2,0.0
