Address,Formatted Address,nbh_name,Offense,counts
1100  TROOST AVE,"1100 Troost Ave, Kansas City, MO 64106, USA",Paseo West,Possession/Sale/Distribution of a Controlled Substance,278
1700  W 133RD ST,"1700 W 133rd St, Kansas City, MO 64145, USA",Martin City,Stealing – Shoplift,159
100  E LINWOOD BLVD,"100 Linwood Blvd, Kansas City, MO 64111, USA",Broadway Gillham,Stealing – Shoplift,153
2300  E MEYER BLVD,"2300 E Meyer Blvd, Kansas City, MO 64132, USA",Blenheim Square Research Hospital,Assault (Non-Aggravated),130
8600  WARD PKWY,"8600 Ward Pkwy, Kansas City, MO 64114, USA",Western Hills,Stealing – Shoplift,118
1100  LOCUST ST,"1100 Locust St, Kansas City, MO 64106, USA",CBD Downtown,Legacy Incident Report/Arrest,110
2300  HOLMES ST,"2300 Holmes St, Kansas City, MO 64108, USA",Hospital Hill,Trespass of Real Property,104
8400  N MADISON AVE,"8400 N Madison Ave, Kansas City, MO 64155, USA",Outer Gashland-Nashua,Stealing – Shoplift,103
8500  N BOARDWALK AVE,"8500 N Boardwalk Ave, Kansas City, MO 64154, USA",Coves North,Stealing – Shoplift,100
8500  N CHURCH RD,"8500 N Church Rd, Kansas City, MO 64157, USA",Shoal Creek,Stealing – Shoplift,94
5800  WILSON AVE,"5800 Wilson Ave, Kansas City, MO 64123, USA",South Indian Mound,Stealing – Shoplift,84
2300  HOLMES ST,"2300 Holmes St, Kansas City, MO 64108, USA",Hospital Hill,Assault (Non-Aggravated),84
6800  NE PLEASANT VALLEY RD,"6800 NE Pleasant Valley Rd, Kansas City, MO 64157, USA",Shoal Creek,City/Municipal Warrant Arrest,84
100  E 13TH ST,"100 E 13th St, Kansas City, MO 64106, USA",CBD Downtown,Trespass of Real Property,83
9200  NE BARRY RD,"9200 NE Barry Rd, Kansas City, MO 64157, USA",Shoal Creek,Stealing – Shoplift,74
8500  N MADISON AVE,"8500 N Madison Ave, Kansas City, MO 64155, USA",Outer Gashland-Nashua,Stealing – Shoplift,72
4600  TROOST AVE,"4600 Troost Ave, Kansas City, MO 64110, USA",South Hyde Park,Stealing – Shoplift,66
8300  N CHURCH RD,"8300 N Church Rd, Kansas City, MO 64158, USA",Shoal Creek,Stealing – Shoplift,64
