BLOCKGROUP_ID,Total population,Median income,Median home value,Total population age 25+ years with a bachelor's degree or higher,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Total civilian labor force,Total employed,Total unemployed,Families considered in poverty calculation,Individuals considered in poverty calculation,Households considered in poverty calculation,Families with income below poverty,Individuals with income below poverty,Households with income below poverty,Total population 25 or older,No schooling completed,High school diploma,Bachelor's degree,Master's degree,Doctorate degree
290019505006,887,21731,-666666666,11,597,0,165,29,92,314,374,356,307,49,55,887,374,13,601,191,161,0,0,11,0,0
290190005001,2337,13885,-666666666,408,1744,92,251,66,91,1104,1112,1364,1255,109,94,2218,1112,45,1703,777,708,0,0,248,65,56
290190005002,1736,13810,-666666666,0,1430,91,27,76,30,278,278,714,677,37,0,1013,278,0,932,269,132,0,3,0,0,0
290210012002,780,17500,-666666666,59,537,169,0,6,35,442,450,245,232,13,36,594,450,19,298,202,627,0,40,31,23,0
290370601001,187,28250,-666666666,5,187,0,0,0,50,19,19,95,83,12,13,70,19,8,47,8,32,0,0,5,0,0
290470221002,893,39926,-666666666,303,631,168,0,62,168,621,621,587,587,0,109,893,621,0,221,189,717,0,0,215,42,0
290470206025,625,29358,-666666666,36,392,54,54,0,0,181,181,243,172,71,161,625,181,57,246,68,329,0,16,36,0,0
290510207002,270,30556,-666666666,10,120,150,0,0,54,102,102,138,90,48,61,261,102,45,199,86,123,0,0,10,0,0
290770002001,3271,16069,-666666666,55,2763,209,136,119,122,579,619,1237,1048,189,58,990,619,8,589,358,310,19,0,55,0,0
290770001002,750,16050,-666666666,84,525,31,134,7,44,258,263,390,390,0,35,528,263,13,311,134,243,0,0,40,44,0
290770002002,1894,12222,-666666666,49,1548,101,175,56,116,450,450,709,617,92,59,759,450,38,590,364,240,0,0,12,37,0
290950095004,428,26402,-666666666,24,29,369,0,23,162,190,190,128,115,13,121,428,190,26,95,62,189,0,0,24,0,0
290950154002,1293,11920,-666666666,10,106,799,157,199,81,447,465,592,485,107,262,1293,465,170,861,315,620,137,0,10,0,0
290950100023,1016,37157,-666666666,278,391,564,0,33,72,681,681,712,712,0,162,1016,681,13,124,82,859,0,0,230,38,10
291019800002,982,52188,-666666666,147,626,172,50,115,0,309,336,242,221,21,311,965,336,27,69,27,486,3,0,135,12,0
291650303056,1014,44435,-666666666,0,680,286,0,48,0,321,321,454,454,0,179,916,321,11,118,26,587,0,0,0,0,0
291694703902,826,44456,-666666666,40,470,93,8,194,54,233,233,149,124,25,223,653,233,5,44,15,212,10,0,34,3,3
291694703891,8516,41761,-666666666,1057,3797,2048,459,1606,53,211,211,1378,1315,63,196,613,211,4,14,7,2413,0,0,695,355,0
291694703901,921,80125,-666666666,237,497,147,0,277,0,194,194,190,91,99,194,874,194,9,99,9,375,0,5,204,33,0
291694703903,629,67750,-666666666,30,201,0,0,394,0,93,93,133,123,10,93,629,93,0,0,0,164,2,3,30,0,0
291694703892,911,49009,-666666666,51,534,50,84,163,39,254,263,230,177,53,184,911,263,18,92,18,312,0,0,43,8,0
291694706002,2559,39528,-666666666,368,1926,221,76,257,141,818,824,712,701,11,238,2026,824,0,186,88,879,0,0,178,146,44
291892132024,1955,78359,-666666666,885,304,198,1263,174,0,656,667,969,948,21,606,1955,667,56,117,56,1322,0,0,456,429,0
291892213024,1883,48073,-666666666,334,1781,102,0,0,51,1048,1065,1594,1467,127,294,1883,1065,0,144,43,1202,0,0,246,88,0
291892119005,833,25521,-666666666,27,42,626,30,0,122,323,340,368,326,42,251,833,340,45,207,110,465,0,0,27,0,0
291892161003,783,27799,-666666666,366,153,527,20,36,50,342,357,501,430,71,108,783,357,29,383,165,620,0,0,80,285,0
291892151422,545,32300,-666666666,198,262,260,0,0,0,408,408,468,468,0,53,541,408,0,32,32,393,0,0,139,59,0
291892133001,1017,38341,-666666666,122,112,773,0,132,35,301,301,566,534,32,240,1017,301,0,0,0,560,32,0,108,14,0
291892215031,986,81915,-666666666,0,542,444,0,0,20,42,106,224,224,0,64,288,106,0,0,0,832,0,60,0,0,0
291892131011,272,42500,-666666666,9,19,144,0,109,57,82,82,156,122,34,82,272,82,34,77,34,119,0,0,9,0,0
295101275001,873,12366,-666666666,32,17,781,0,65,45,441,449,392,267,125,163,873,449,73,493,247,565,10,42,19,13,0
295101184001,1572,11409,-666666666,82,861,392,161,101,145,372,372,553,532,21,5,395,372,0,224,214,387,15,8,50,32,0
295101212001,616,27917,-666666666,165,45,556,0,7,12,262,270,347,276,71,177,616,270,57,174,69,375,0,14,79,70,0
295101256002,961,64122,-666666666,563,483,155,163,93,174,696,717,740,694,46,135,961,717,0,89,89,796,0,0,360,110,62
295101257002,977,28750,-666666666,107,15,953,0,0,52,424,489,311,251,60,210,977,489,83,354,150,623,0,0,98,0,0
295101193003,1890,26250,-666666666,468,1068,251,340,167,112,653,663,871,815,56,30,974,663,3,416,243,697,0,14,206,157,52
295101193002,933,21318,-666666666,203,558,101,204,31,149,303,303,475,450,25,16,503,303,5,274,130,338,0,0,43,86,53
