nbhid,category,Num of Abandoned Houses
4,Occupied,5
5,Occupied,1
6,Occupied,1
7,Occupied,1
9,Occupied,1
12,Occupied,1
14,Occupied,2
15,Occupied,1
16,Abandoned,1
17,Occupied,3
18,Occupied,1
19,Occupied,5
20,Abandoned,1
20,Occupied,8
21,Occupied,1
24,Occupied,1
26,Occupied,2
27,Abandoned,2
27,Occupied,3
28,Abandoned,4
28,Occupied,7
29,Abandoned,4
29,Occupied,2
30,Abandoned,12
30,Occupied,2
31,Abandoned,8
31,Occupied,2
33,Occupied,3
34,Abandoned,1
34,Occupied,2
35,Occupied,3
45,Occupied,1
48,Abandoned,2
49,Abandoned,3
51,Occupied,1
52,Abandoned,1
53,Abandoned,1
53,Occupied,3
54,Abandoned,6
54,Occupied,1
55,Abandoned,3
55,Occupied,4
56,Abandoned,5
56,Occupied,6
57,Abandoned,2
57,Occupied,3
58,Abandoned,6
58,Occupied,2
59,Abandoned,6
59,Occupied,5
60,Abandoned,1
60,Occupied,1
61,Abandoned,4
62,Abandoned,1
63,Abandoned,1
64,Abandoned,5
64,Occupied,1
66,Abandoned,1
67,Occupied,2
69,Abandoned,2
69,Occupied,1
74,Occupied,2
76,Occupied,8
78,Occupied,3
80,Occupied,2
82,Occupied,1
83,Occupied,4
91,Occupied,2
106,Occupied,5
110,Occupied,1
111,Occupied,1
112,Occupied,1
115,Occupied,1
116,Abandoned,11
117,Abandoned,2
117,Occupied,4
118,Abandoned,7
118,Occupied,7
119,Abandoned,8
119,Occupied,5
121,Occupied,2
123,Occupied,1
124,Abandoned,2
124,Occupied,2
125,Abandoned,3
125,Occupied,1
126,Abandoned,2
126,Occupied,4
127,Occupied,3
128,Occupied,1
129,Occupied,3
130,Occupied,1
134,Occupied,2
139,Occupied,1
142,Occupied,2
143,Occupied,1
144,Occupied,2
154,Occupied,5
160,Occupied,1
161,Occupied,2
162,Occupied,2
170,Occupied,1
171,Occupied,5
172,Occupied,3
178,Occupied,1
184,Occupied,1
191,Occupied,2
194,Occupied,2
201,Occupied,1
206,Occupied,1
207,Occupied,2
209,Occupied,2
213,Occupied,1
230,Occupied,2
231,Occupied,1
233,Occupied,2
234,Occupied,2
237,Occupied,1
238,Occupied,2
