CATEGORY,TYPE,DETAIL,REQUEST TYPE,Count
Animals / Pets,Bite,Animal on Animal,Animals / Pets-Bite-Animal on Animal,211
Animals / Pets,Bite,Owned,Animals / Pets-Bite-Owned,322
Animals / Pets,Bite,Stray,Animals / Pets-Bite-Stray,63
Animals / Pets,Bite,Wildlife,Animals / Pets-Bite-Wildlife,10
Animals / Pets,Cruelty or Neglect,Abandonment,Animals / Pets-Cruelty or Neglect-Abandonment,589
Animals / Pets,Cruelty or Neglect,Abuse / Injury / Death,Animals / Pets-Cruelty or Neglect-Abuse / Injury / Death,680
Animals / Pets,Cruelty or Neglect,Inclement Weather,Animals / Pets-Cruelty or Neglect-Inclement Weather,388
Animals / Pets,Cruelty or Neglect,Shelter / Food / Water,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water,1075
Animals / Pets,Dead Animal,Curb,Animals / Pets-Dead Animal -Curb,3037
Animals / Pets,Dead Animal,Private Property Nuisance,Property Violations,31
Animals / Pets,Dead Animal,Private Property Pickup,Animals / Pets-Dead Animal -Private Property Pickup,439
Animals / Pets,Dead Animal,Street,Animals / Pets-Dead Animal -Street,2373
Animals / Pets,Permit / License,Chicken / Rooster,Animals / Pets-Permit / License-Chicken / Rooster,133
Animals / Pets,Permit / License,Livestock,Animals / Pets-Permit / License-Livestock,32
Animals / Pets,Permit / License,Other,Animals / Pets-Permit / License-Other,14
Animals / Pets,Permit / License,Permit Request,Animals / Pets-Permit / License-Permit Request,1
Animals / Pets,Permit / License,Vaccination / Pet License,Animals / Pets-Permit / License-Vaccination / Pet License,28
Animals / Pets,Questionable Activity,Cock Fighting,Animals / Pets-Questionable Activity-Cock fighting,1
Animals / Pets,Questionable Activity,Dog Fighting,Animals / Pets-Questionable Activity-Dog fighting,7
Animals / Pets,Questionable Activity,Other,Animals / Pets-Questionable Activity-Other,159
Animals / Pets,Questionable Activity,Over Limit / Hoarding,Animals / Pets-Questionable Activity-Over Limit / Hoarding,230
Animals / Pets,Rat Treatment,City Block,Animals / Pets-Rat Treatment-City Block,98
Animals / Pets,Rat Treatment,City Construction Site,Animals / Pets-Rat Treatment-City Const Site,1
Animals / Pets,Rat Treatment,In the Sewer,Animals / Pets-Rat Treatment-In the Sewer,24
Animals / Pets,Rat Treatment,Inside Home,Animals / Pets-Rat Treatment-Inside Residence,1013
Animals / Pets,Rat Treatment,Outside,Animals / Pets-Rat Treatment-Outside,780
Animals / Pets,Rat Treatment,Vacant Home,Animals / Pets-Rat Treatment-Vacant Home,97
Animals / Pets,Rat Treatment,Vacant Lot,Animals / Pets-Rat Treatment-Vacant Property,33
Animals / Pets,Services,Barking Dog,Animals / Pets-Services-Barking Dog Letter,1
Animals / Pets,Services,Call Back Request,Animals / Pets-Services-Call Back Request,44
Animals / Pets,Services,Feedback,Animals / Pets-Services-Feedback,40
Animals / Pets,Services,Off Leash - Investigation,Animals / Pets-Services-Off Leash,282
Animals / Pets,Services,Officer Assist,Animals / Pets-Services-Officer Assist,36
Animals / Pets,Services,Question,Animals / Pets-Services-Question,49
Animals / Pets,Services,Repeated Report,Animals / Pets-Services-Repeated Report,4
Animals / Pets,Services,Service Issue / Problem,Animals / Pets-Services-Service Issue / Problem,95
Animals / Pets,Stray,At Large - Aggressive,Animals / Pets-Stray-At Large - Aggressive,1694
Animals / Pets,Stray,At Large - Highway,Animals / Pets-Stray-At Large - Highway,89
Animals / Pets,Stray,At Large - Non-Aggressive,Animals / Pets-Stray-At Large - Non-Aggressive,1982
Animals / Pets,Stray,At Large - Owned,Animals / Pets-Stray-At Large - Owned,818
Animals / Pets,Stray,At Large - Pack,Animals / Pets-Stray-At Large - Pack,320
Animals / Pets,Stray,Confined,Animals / Pets-Stray-Confined,757
Animals / Pets,Stray,Injured,Animals / Pets-Stray-Injured,895
Animals / Pets,Wildlife,Injured,Animals / Pets-Wildlife-Injured,852
Animals / Pets,Wildlife,Inside,Animals / Pets-Wildlife-Inside,943
Animals / Pets,Wildlife,Outside,Animals / Pets - Wildlife - Outside,2
Capital Projects,PIAC,Department Referral,Capital Projects-PIAC-Department Referral,150
Capital Projects,PIAC,Question / Feedback,Capital Projects-PIAC-Question / Feedback,32
Capital Projects,PIAC,Resident Request,Capital Projects-PIAC-Resident Request,108
Capital Projects,Parks,Question / Feedback,Capital Projects-Parks-Question / Feedback,24
Capital Projects,Parks,Service Issue / Problem,Capital Projects-Parks-Service Issue / Problem,24
Capital Projects,Public Works,Service Issue / Problem,Capital Projects-Public Works-Service Issue / Problem,176
Capital Projects,Sewer,Engineering,Capital Projects-Sewer-Engineering,663
Capital Projects,Sewer,Question / Feedback,Capital Projects-Sewer-Question / Feedback,37
Capital Projects,Sewer,Service Issue / Problem,Capital Projects-Sewer-Service Issue / Problem,141
Capital Projects,Storm Water,Engineering,Capital Projects-Storm Water-Engineering,273
Capital Projects,Storm Water,Question / Feedback,Capital Projects-Storm Water-Question / Feedback,17
Capital Projects,Storm Water,Service Issue / Problem,Capital Projects-Storm Water-Service Issue / Problem,17
Capital Projects,Water,Basement Backup Prevent Proj,Capital Projects-Water-Basement Backup Prev Prog,1
Capital Projects,Water,Engineering,Capital Projects-Water-Engineering,321
Capital Projects,Water,Question / Feedback,Capital Projects-Water-Question / Feedback,50
Capital Projects,Water,Service Issue / Problem,Capital Projects-Water-Service Issue / Problem,128
City Facilities,Airports,KCI,City Facilities-Airports-KCI,15
City Facilities,Airports,Wheeler (Downtown),City Facilities-Airports-Wheeler (Downtown),4
City Facilities,Building / Property,City Hall,City Facilities-Building / Property-City Hall,10
City Facilities,Building / Property,Convention Center,City Facilities-Building / Property-Convention Center,10
City Facilities,Building / Property,Fire Station Maintenance,City Facilities-Building / Property-Fire Station Maintenance,6
City Facilities,Building / Property,Municipal Court,City Facilities-Building / Property-Municipal Court,3
City Facilities,Building / Property,Other City Buildings,City Facilities-Building / Property-Other City Buildings,42
City Facilities,Building / Property,Water Services Department,City Facilities-Building / Property-Water Services Department,3
City Facilities,Parking,Other Garage,City Facilities-Parking-Other Garage,9
City Facilities,Parking,Wolf Garage,City Facilities-Parking-Wolf Garage,5
Data Not Available,Data Not Available,Data Not Available,Animals / Pets-Dead Animal -Private Property Pickup,1
Data Not Available,Data Not Available,Data Not Available,Capital Projects-Public Works-Service Issue / Problem,1
Data Not Available,Data Not Available,Data Not Available,Government-311 Administration-Field Investigation,1
Data Not Available,Data Not Available,Data Not Available,Government-NHS (Neighborhood Housing Services)-Assessment Dispute,1
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct - Land Use / Zoning - Unapproved Land Use,1
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Construction Issue/Concern-Other,1
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Construction Issue/Concern-Work without permit,1
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Land Use / Zoning Issue-Number of Dwelling Units,1
Data Not Available,Data Not Available,Data Not Available,Prop/Build/Construct-Property Maintenance-No Utilities,1
Data Not Available,Data Not Available,Data Not Available,Property Violations,4
