CATEGORY,TYPE,DETAIL,REQUEST TYPE
Air Quality,Pollutants,Indoor,Healthy Homes Program
Air Quality,Pollutants,Outdoor,Outdoor Air Quality
Air Quality,Tobacco,All,Smoking Complaints
Animal,Barking Dog,All,Barking Dog
Animal,Bite,*Select one,Animal Bite
Animal,Bite,All,Animal Bite
Animal,Emergency,*Select one,Animal Emergency
Animal,Emergency,Abused,Animal Emergency
Animal,Emergency,Aggressive,Animal Emergency
Animal,Emergency,Bat visible in house,Animal Control
Animal,Emergency,Bat visible in house,Animal Emergency
Animal,Emergency,Injured Cat or Dog,Animal Emergency
Animal,Injury or Cruelty involving an Animal,All,Injury or Cruelty Involving an Animal
Animal,Insect Problem,Bedbugs,Bedbugs Problem
Animal,Insect Problem,Integrated Pest Management Class,Integrated Pest Management Class
Animal,Investigation,All,Animal Investigation
Animal,Jackson County,Buckner,Animal Concerns Buckner Jackson County
Animal,Jackson County,Buckner,Animal Emergency Buckner Jackson County
Animal,Jackson County,Greenwood,Animal Concerns Greenwood Jackson County
Animal,Jackson County,Greenwood,Animal Emergency Greenwood Jackson County
Animal,Jackson County,Levacy,Animal Concerns Levacy Jackson County
Animal,Jackson County,Levacy,Emergency Animal Levacy Jackson County
Animal,Jackson County,Lone Jack,Animal Concerns Lone Jack Jackson County
Animal,Jackson County,Lone Jack,Animal Emergency Lone Jack Jackson County
Animal,Jackson County,Sibley,Animal Concerns Sibley Jackson County
Animal,Jackson County,Sibley,Animal Emergency Greenwood Jackson County
Animal,Jackson County,Sibley,Animal Emergency Sibley Jackson County
Animal,Jackson County,Sugar Creek,Animal Concerns Sugar Creek Jackson County
Animal,Jackson County,Sugar Creek,Animal Emergency Sugar Creek Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Concerns Unincorporated Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Concers Unicorporated Jackson County
Animal,Jackson County,Unincorporated Areas of Jackson County,Animal Emergency Unincorporated Jackson County
Animal,Jackson County,Unity Village,Animal Concerns Unity Village Jackson County
Animal,Jackson County,Unity Village,Animal Emergency Unity Village Jackson County
Animal,Other,Non Emergency,Animal Control
Animal,Other,Non Emergency,Animal Investigation
Animal,Owned or Stray at Large,All,Animal At Large
Animal,Repair,*Select one,Animal Control
Animal,Return Call to Citizen,All,Animal Admin Call Back
Animal,Return Call to Citizen,All,Animal Control Administration
Animal,Return Call to Citizen,Jack,Rat Control Education
Animal,Rodent,Rat,Rat Control Education
Animal,Rodent,Rat Control Treatment and Baiting,Rat Control Treatment
Animal,Stray Confined,Confined,Stray Animal Confined
Animal,Wildlife,All,Wildlife
Animals / Pets,Bite,Animal on Animal,Animals / Pets-Bite-Animal on Animal
Animals / Pets,Bite,Owned,Animals / Pets-Bite-Owned
Animals / Pets,Bite,Stray,Animals / Pets-Bite-Stray
Animals / Pets,Bite,Wildlife,Animals / Pets-Bite-Wildlife
Animals / Pets,Cruelty or Neglect,Abandonment,Animals / Pets-Cruelty or Neglect-Abandonment
Animals / Pets,Cruelty or Neglect,Abuse / Injury / Death,Animals / Pets-Cruelty or Neglect-Abuse / Injury / Death
Animals / Pets,Cruelty or Neglect,Inclement Weather,Animals / Pets-Cruelty or Neglect-Inclement Weather
Animals / Pets,Cruelty or Neglect,Shelter / Food / Water,Animals / Pets-Cruelty or Neglect-Shelter / Food / Water
Animals / Pets,Dead Animal,Curb,Animals / Pets-Dead Animal -Curb
Animals / Pets,Dead Animal,Private Property Nuisance,Property Violations
Animals / Pets,Dead Animal,Private Property Pickup,Animals / Pets-Dead Animal -Private Property Pickup
Animals / Pets,Dead Animal,Street,Animals / Pets-Dead Animal -Street
Animals / Pets,Permit / License,Chicken / Rooster,Animals / Pets-Permit / License-Chicken / Rooster
Animals / Pets,Permit / License,Livestock,Animals / Pets-Permit / License-Livestock
Animals / Pets,Permit / License,Other,Animals / Pets-Permit / License-Other
Animals / Pets,Permit / License,Permit Request,Animals / Pets-Permit / License-Permit Request
Animals / Pets,Permit / License,Rescue Permit,Animals / Pets-Permit / License-Rescue Permit
Animals / Pets,Permit / License,Vaccination / Pet License,Animals / Pets-Permit / License-Vaccination / Pet License
Animals / Pets,Questionable Activity,Cock Fighting,Animals / Pets-Questionable Activity-Cock fighting
Animals / Pets,Questionable Activity,Dog Fighting,Animals / Pets-Questionable Activity-Dog fighting
Animals / Pets,Questionable Activity,Other,Animals / Pets-Questionable Activity-Other
Animals / Pets,Questionable Activity,Over Limit / Hoarding,Animals / Pets-Questionable Activity-Over Limit / Hoarding
Animals / Pets,Rat Treatment,City Block,Animals / Pets-Rat Treatment-City Block
Animals / Pets,Rat Treatment,City Construction Site,Animals / Pets-Rat Treatment-City Const Site
Animals / Pets,Rat Treatment,In the Sewer,Animals / Pets-Rat Treatment-In the Sewer
Animals / Pets,Rat Treatment,Inside Home,Animals / Pets-Rat Treatment-Inside Residence
Animals / Pets,Rat Treatment,Outside,Animals / Pets-Rat Treatment-Outside
Animals / Pets,Rat Treatment,Vacant Home,Animals / Pets-Rat Treatment-Vacant Home
Animals / Pets,Rat Treatment,Vacant Lot,Animals / Pets-Rat Treatment-Vacant Property
Animals / Pets,Services,Barking Dog,Animals / Pets-Services-Barking Dog Letter
Animals / Pets,Services,Call Back Request,Animals / Pets-Services-Call Back Request
Animals / Pets,Services,Feedback,Animals / Pets-Services-Feedback
Animals / Pets,Services,Off Leash - Investigation,Animals / Pets-Services-Off Leash
Animals / Pets,Services,Off Leash - Investigation,Animals / Pets-Services-Off Leash - Investigation
Animals / Pets,Services,Officer Assist,Animals / Pets-Services-Officer Assist
Animals / Pets,Services,Question,Animals / Pets-Services-Question
Animals / Pets,Services,Repeated Report,Animals / Pets-Services-Repeated Report
Animals / Pets,Services,Service Issue / Problem,Animals / Pets-Services-Service Issue / Problem
Animals / Pets,Stray,At Large - Aggressive,Animals / Pets-Stray-At Large - Aggressive
Animals / Pets,Stray,At Large - Highway,Animals / Pets-Stray-At Large - Highway
Animals / Pets,Stray,At Large - Non-Aggressive,Animals / Pets-Stray-At Large - Non-Aggressive
Animals / Pets,Stray,At Large - Owned,Animals / Pets-Stray-At Large - Owned
Animals / Pets,Stray,At Large - Pack,Animals / Pets-Stray-At Large - Pack
Animals / Pets,Stray,Confined,Animals / Pets-Stray-Confined
Animals / Pets,Stray,Injured,Animals / Pets-Stray-Injured
Animals / Pets,Wildlife,Injured,Animals / Pets-Wildlife-Injured
Animals / Pets,Wildlife,Inside,Animals / Pets-Wildlife-Inside
Animals / Pets,Wildlife,Outside,Animals / Pets - Wildlife - Outside
Aviation,All,All,Aviation - All
Boulevard Parks and Rec,Bruce R. Watkins Freeway,All,Bruce R Watkins Freeway
